CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.216  |  0.496  |  0.208  |  0.223  
  0.200  |  0.498  |  0.208  |  0.192  
  0.231  |  0.500  |  0.231  |  0.231  
  0.200  |  0.502  |  0.208  |  0.192  
  0.216  |  0.504  |  0.216  |  0.216  
  0.216  |  0.506  |  0.223  |  0.208  
  0.200  |  0.508  |  0.208  |  0.192  
  0.216  |  0.511  |  0.208  |  0.223  
  0.216  |  0.513  |  0.223  |  0.208  
  0.216  |  0.515  |  0.216  |  0.216  
  0.200  |  0.517  |  0.208  |  0.192  
  0.216  |  0.519  |  0.208  |  0.223  
  0.216  |  0.521  |  0.216  |  0.216  
  0.200  |  0.523  |  0.200  |  0.200  
  0.231  |  0.526  |  0.231  |  0.231  
  0.200  |  0.528  |  0.208  |  0.192  
  0.216  |  0.532  |  0.216  |  0.216  
  0.216  |  0.534  |  0.223  |  0.208  
  0.216  |  0.536  |  0.223  |  0.208  
  0.216  |  0.538  |  0.216  |  0.216  
  0.216  |  0.540  |  0.216  |  0.216  
  0.216  |  0.543  |  0.216  |  0.216  
  0.200  |  0.545  |  0.208  |  0.192  
  0.216  |  0.547  |  0.208  |  0.223  
  0.200  |  0.549  |  0.208  |  0.192  
  0.216  |  0.551  |  0.216  |  0.216  
  0.216  |  0.553  |  0.216  |  0.216  
  0.231  |  0.555  |  0.231  |  0.231  
  0.200  |  0.557  |  0.200  |  0.200  
  0.231  |  0.560  |  0.231  |  0.231  
  0.200  |  0.562  |  0.200  |  0.200  
  0.216  |  0.564  |  0.223  |  0.208  
  0.216  |  0.566  |  0.223  |  0.208  
  0.216  |  0.568  |  0.216  |  0.216  
  0.200  |  0.570  |  0.208  |  0.192  
  0.231  |  0.572  |  0.231  |  0.231  
  0.200  |  0.574  |  0.192  |  0.208  
  0.200  |  0.576  |  0.208  |  0.192  
  0.216  |  0.579  |  0.223  |  0.208  
  0.231  |  0.581  |  0.231  |  0.231  
  0.216  |  0.583  |  0.216  |  0.216  
  0.216  |  0.585  |  0.216  |  0.216  
  0.200  |  0.587  |  0.192  |  0.208  
  0.216  |  0.589  |  0.223  |  0.208  
  0.185  |  0.591  |  0.192  |  0.177  
  0.216  |  0.593  |  0.223  |  0.208  
  0.216  |  0.595  |  0.216  |  0.216  
  0.216  |  0.598  |  0.216  |  0.216  
  0.200  |  0.600  |  0.208  |  0.192  
  0.216  |  0.602  |  0.216  |  0.216  
  0.231  |  0.604  |  0.231  |  0.231  
  0.216  |  0.606  |  0.216  |  0.216  
  0.216  |  0.608  |  0.216  |  0.216  
  0.200  |  0.613  |  0.208  |  0.192  
  0.216  |  0.615  |  0.223  |  0.208  
  0.200  |  0.617  |  0.200  |  0.200  
  0.231  |  0.619  |  0.223  |  0.239  
  0.200  |  0.621  |  0.208  |  0.192  
  0.231  |  0.623  |  0.231  |  0.231  
  0.200  |  0.625  |  0.208  |  0.192  
  0.216  |  0.627  |  0.223  |  0.208  
  0.216  |  0.630  |  0.216  |  0.216  
  0.216  |  0.632  |  0.216  |  0.216  
  0.216  |  0.634  |  0.216  |  0.216  
  0.216  |  0.636  |  0.223  |  0.208  
  0.216  |  0.638  |  0.216  |  0.216  
  0.200  |  0.640  |  0.208  |  0.192  
  0.216  |  0.642  |  0.223  |  0.208  
  0.200  |  0.644  |  0.200  |  0.200  
  0.216  |  0.646  |  0.216  |  0.216  
  0.216  |  0.649  |  0.223  |  0.208  
  0.216  |  0.651  |  0.216  |  0.216  
  0.216  |  0.653  |  0.216  |  0.216  
  0.216  |  0.655  |  0.223  |  0.208  
  0.216  |  0.657  |  0.216  |  0.216  
  0.216  |  0.659  |  0.216  |  0.216  
  0.216  |  0.662  |  0.223  |  0.208  
  0.216  |  0.664  |  0.216  |  0.216  
  0.216  |  0.666  |  0.216  |  0.216  
  0.200  |  0.668  |  0.208  |  0.192  
  0.216  |  0.670  |  0.216  |  0.216  
  0.231  |  0.672  |  0.231  |  0.231  
  0.216  |  0.674  |  0.216  |  0.216  
  0.216  |  0.677  |  0.223  |  0.208  
  0.200  |  0.679  |  0.200  |  0.200  
  0.200  |  0.681  |  0.208  |  0.192  
  0.216  |  0.683  |  0.216  |  0.216  
  0.216  |  0.685  |  0.216  |  0.216  
  0.216  |  0.687  |  0.223  |  0.208  
  0.216  |  0.689  |  0.223  |  0.208  
  0.231  |  0.691  |  0.231  |  0.231  
  0.200  |  0.693  |  0.200  |  0.200  
  0.216  |  0.698  |  0.223  |  0.208  
  0.216  |  0.700  |  0.216  |  0.216  
