CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  | -0.002  |  0.002  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  
  0.000  |  6.976  |  0.000  |  0.000  

received SIGINT Ctrl-C
