CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.231  |  0.140  |  0.223  |  0.239  
  0.169  |  0.141  |  0.177  |  0.162  
  0.092  |  0.142  |  0.100  |  0.085  
  0.092  |  0.143  |  0.092  |  0.092  
  0.185  |  0.145  |  0.184  |  0.185  
  0.200  |  0.147  |  0.192  |  0.208  
  0.154  |  0.149  |  0.155  |  0.153  
  0.077  |  0.149  |  0.085  |  0.069  
  0.154  |  0.151  |  0.146  |  0.162  
  0.216  |  0.153  |  0.208  |  0.223  
  0.216  |  0.155  |  0.223  |  0.208  
  0.123  |  0.156  |  0.123  |  0.123  
  0.123  |  0.158  |  0.123  |  0.123  
  0.169  |  0.159  |  0.162  |  0.177  
  0.262  |  0.162  |  0.262  |  0.262  
  0.200  |  0.164  |  0.208  |  0.192  
  0.123  |  0.165  |  0.123  |  0.123  
  0.139  |  0.167  |  0.131  |  0.146  
  0.277  |  0.169  |  0.277  |  0.277  
  0.246  |  0.172  |  0.246  |  0.246  
  0.154  |  0.173  |  0.146  |  0.162  
  0.231  |  0.177  |  0.231  |  0.231  
  0.292  |  0.180  |  0.300  |  0.285  
  0.216  |  0.182  |  0.216  |  0.216  
  0.154  |  0.184  |  0.146  |  0.162  
  0.216  |  0.186  |  0.216  |  0.216  
  0.277  |  0.189  |  0.277  |  0.277  
  0.262  |  0.191  |  0.262  |  0.262  
  0.216  |  0.193  |  0.223  |  0.208  
  0.185  |  0.195  |  0.185  |  0.185  
  0.277  |  0.198  |  0.269  |  0.285  
  0.277  |  0.201  |  0.277  |  0.277  
  0.262  |  0.203  |  0.269  |  0.254  
  0.216  |  0.205  |  0.216  |  0.216  
  0.231  |  0.208  |  0.223  |  0.239  
  0.308  |  0.211  |  0.308  |  0.308  
  0.277  |  0.214  |  0.285  |  0.269  
  0.246  |  0.216  |  0.239  |  0.254  
  0.231  |  0.218  |  0.231  |  0.231  
  0.323  |  0.222  |  0.323  |  0.323  
  0.292  |  0.225  |  0.285  |  0.300  
  0.262  |  0.227  |  0.262  |  0.262  
  0.262  |  0.230  |  0.262  |  0.262  
  0.308  |  0.233  |  0.316  |  0.300  
  0.308  |  0.236  |  0.308  |  0.308  
  0.292  |  0.239  |  0.285  |  0.300  
  0.277  |  0.242  |  0.277  |  0.277  
  0.308  |  0.245  |  0.316  |  0.300  
  0.308  |  0.248  |  0.308  |  0.308  
  0.323  |  0.251  |  0.323  |  0.323  
  0.277  |  0.254  |  0.269  |  0.285  
  0.323  |  0.257  |  0.331  |  0.316  
  0.323  |  0.260  |  0.331  |  0.316  
  0.339  |  0.264  |  0.331  |  0.346  
  0.308  |  0.267  |  0.300  |  0.316  
  0.277  |  0.270  |  0.285  |  0.269  
  0.354  |  0.273  |  0.354  |  0.354  
  0.354  |  0.277  |  0.354  |  0.354  
  0.292  |  0.283  |  0.292  |  0.292  
  0.292  |  0.283  |  0.292  |  0.292  
  0.354  |  0.290  |  0.354  |  0.354  
  0.354  |  0.294  |  0.354  |  0.354  
  0.323  |  0.297  |  0.331  |  0.316  
  0.339  |  0.300  |  0.331  |  0.346  
  0.369  |  0.304  |  0.362  |  0.377  
  0.354  |  0.308  |  0.362  |  0.346  
  0.354  |  0.311  |  0.362  |  0.346  
  0.369  |  0.315  |  0.369  |  0.369  
  0.354  |  0.318  |  0.346  |  0.362  
  0.369  |  0.322  |  0.369  |  0.369  
  0.385  |  0.326  |  0.385  |  0.385  
  0.354  |  0.329  |  0.354  |  0.354  
  0.354  |  0.333  |  0.362  |  0.346  
  0.400  |  0.337  |  0.400  |  0.400  
  0.416  |  0.341  |  0.416  |  0.416  
  0.339  |  0.344  |  0.339  |  0.339  
  0.369  |  0.348  |  0.369  |  0.369  
  0.385  |  0.352  |  0.393  |  0.377  
  0.416  |  0.356  |  0.416  |  0.416  
  0.400  |  0.360  |  0.393  |  0.408  
  0.369  |  0.364  |  0.362  |  0.377  
  0.369  |  0.368  |  0.377  |  0.362  
  0.431  |  0.372  |  0.439  |  0.423  
  0.385  |  0.376  |  0.385  |  0.385  
  0.416  |  0.380  |  0.415  |  0.416  
  0.431  |  0.384  |  0.431  |  0.431  
  0.385  |  0.388  |  0.377  |  0.393  
  0.369  |  0.392  |  0.362  |  0.377  
  0.431  |  0.396  |  0.439  |  0.423  
  0.431  |  0.400  |  0.439  |  0.423  
  0.416  |  0.405  |  0.408  |  0.423  
  0.416  |  0.413  |  0.423  |  0.408  
  0.446  |  0.417  |  0.446  |  0.446  
  0.431  |  0.421  |  0.431  |  0.431  
  0.431  |  0.426  |  0.431  |  0.431  
  0.446  |  0.430  |  0.446  |  0.446  
  0.385  |  0.434  |  0.385  |  0.385  
  0.446  |  0.438  |  0.439  |  0.454  
  0.431  |  0.443  |  0.439  |  0.423  
  0.446  |  0.447  |  0.454  |  0.439  
  0.477  |  0.452  |  0.478  |  0.477  
  0.431  |  0.456  |  0.431  |  0.431  
  0.385  |  0.460  |  0.377  |  0.393  
  0.400  |  0.464  |  0.400  |  0.400  
  0.539  |  0.469  |  0.539  |  0.539  
  0.493  |  0.474  |  0.493  |  0.493  
  0.369  |  0.478  |  0.369  |  0.369  
  0.400  |  0.482  |  0.400  |  0.400  
  0.508  |  0.487  |  0.508  |  0.508  
  0.523  |  0.492  |  0.523  |  0.523  
  0.416  |  0.497  |  0.416  |  0.416  
  0.416  |  0.501  |  0.416  |  0.416  
  0.477  |  0.505  |  0.477  |  0.477  
  0.493  |  0.510  |  0.493  |  0.493  
  0.462  |  0.515  |  0.454  |  0.470  
  0.431  |  0.519  |  0.431  |  0.431  
  0.477  |  0.524  |  0.485  |  0.470  
  0.477  |  0.529  |  0.485  |  0.470  
  0.508  |  0.534  |  0.508  |  0.508  
  0.462  |  0.539  |  0.454  |  0.470  
  0.431  |  0.543  |  0.423  |  0.439  
  0.493  |  0.548  |  0.493  |  0.493  
  0.493  |  0.553  |  0.493  |  0.493  
  0.493  |  0.558  |  0.500  |  0.485  
  0.477  |  0.562  |  0.477  |  0.477  
  0.462  |  0.567  |  0.462  |  0.462  
  0.462  |  0.577  |  0.462  |  0.462  
  0.462  |  0.577  |  0.462  |  0.462  
  0.462  |  0.587  |  0.462  |  0.462  
  0.539  |  0.592  |  0.539  |  0.539  
  0.493  |  0.597  |  0.493  |  0.493  
  0.508  |  0.602  |  0.516  |  0.500  
  0.446  |  0.606  |  0.446  |  0.446  
  0.554  |  0.612  |  0.554  |  0.554  
  0.508  |  0.617  |  0.500  |  0.516  
  0.493  |  0.622  |  0.493  |  0.493  
  0.477  |  0.627  |  0.485  |  0.470  
  0.508  |  0.632  |  0.508  |  0.508  
  0.508  |  0.637  |  0.500  |  0.516  
  0.508  |  0.642  |  0.508  |  0.508  
  0.523  |  0.647  |  0.531  |  0.516  
  0.523  |  0.652  |  0.523  |  0.523  
  0.508  |  0.658  |  0.500  |  0.516  
  0.508  |  0.663  |  0.508  |  0.508  
  0.523  |  0.668  |  0.531  |  0.516  
  0.539  |  0.673  |  0.539  |  0.539  
  0.508  |  0.678  |  0.500  |  0.516  
  0.493  |  0.683  |  0.493  |  0.493  
  0.523  |  0.688  |  0.531  |  0.516  
  0.539  |  0.694  |  0.546  |  0.531  
  0.539  |  0.699  |  0.539  |  0.539  
  0.508  |  0.704  |  0.508  |  0.508  
  0.523  |  0.710  |  0.516  |  0.531  
  0.508  |  0.715  |  0.508  |  0.508  
  0.539  |  0.720  |  0.546  |  0.531  
  0.554  |  0.726  |  0.554  |  0.554  
  0.523  |  0.731  |  0.516  |  0.531  
  0.508  |  0.736  |  0.500  |  0.516  
  0.554  |  0.741  |  0.554  |  0.554  
  0.554  |  0.747  |  0.562  |  0.546  
  0.508  |  0.752  |  0.508  |  0.508  
  0.523  |  0.757  |  0.531  |  0.516  
  0.554  |  0.763  |  0.546  |  0.562  
  0.616  |  0.769  |  0.616  |  0.616  
  0.508  |  0.774  |  0.508  |  0.508  
  0.539  |  0.784  |  0.531  |  0.546  
  0.585  |  0.790  |  0.585  |  0.585  
  0.600  |  0.796  |  0.608  |  0.593  
  0.523  |  0.801  |  0.523  |  0.523  
  0.462  |  0.806  |  0.454  |  0.470  
  0.554  |  0.811  |  0.554  |  0.554  
  0.585  |  0.817  |  0.577  |  0.593  
  0.554  |  0.823  |  0.554  |  0.554  
  0.446  |  0.827  |  0.447  |  0.446  
  0.493  |  0.832  |  0.492  |  0.493  
  0.523  |  0.837  |  0.523  |  0.524  
  0.493  |  0.842  |  0.492  |  0.493  
  0.493  |  0.847  |  0.492  |  0.493  
  0.462  |  0.852  |  0.462  |  0.462  
