CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.699  |  6.308  |  0.699  |  0.699  
  0.702  |  6.343  |  0.700  |  0.703  
  0.708  |  6.379  |  0.708  |  0.708  
  0.705  |  6.414  |  0.705  |  0.705  
  0.693  |  6.449  |  0.694  |  0.691  
  0.702  |  6.484  |  0.702  |  0.702  
  0.693  |  6.518  |  0.694  |  0.691  
  0.699  |  6.553  |  0.700  |  0.697  
  0.699  |  6.588  |  0.699  |  0.699  
  0.708  |  6.624  |  0.708  |  0.708  
  0.699  |  6.659  |  0.697  |  0.700  
  0.705  |  6.694  |  0.703  |  0.707  
  0.705  |  6.729  |  0.705  |  0.705  
  0.696  |  6.764  |  0.697  |  0.694  
  0.693  |  6.798  |  0.694  |  0.691  
  0.696  |  6.833  |  0.697  |  0.694  
  0.702  |  6.868  |  0.702  |  0.702  
  0.699  |  6.903  |  0.697  |  0.700  
  0.705  |  6.939  |  0.705  |  0.705  
  0.699  |  6.973  |  0.697  |  0.700  
  0.702  |  7.009  |  0.700  |  0.703  
  0.699  |  7.044  |  0.699  |  0.699  
  0.702  |  7.079  |  0.703  |  0.700  
  0.696  |  7.113  |  0.697  |  0.694  
  0.699  |  7.148  |  0.697  |  0.700  
  0.699  |  7.183  |  0.700  |  0.697  
  0.705  |  7.219  |  0.705  |  0.705  
  0.705  |  7.254  |  0.705  |  0.705  
  0.699  |  7.289  |  0.697  |  0.700  
  0.699  |  7.324  |  0.697  |  0.700  
  0.693  |  7.358  |  0.691  |  0.694  
  0.696  |  7.393  |  0.697  |  0.694  
  0.705  |  7.428  |  0.705  |  0.705  
  0.702  |  7.463  |  0.703  |  0.700  
  0.705  |  7.499  |  0.707  |  0.703  
  0.705  |  7.534  |  0.707  |  0.703  
