CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.339  |  0.626  |  0.331  |  0.346  
  0.339  |  0.630  |  0.339  |  0.339  
  0.308  |  0.633  |  0.316  |  0.300  
  0.369  |  0.636  |  0.369  |  0.369  
  0.308  |  0.639  |  0.308  |  0.308  
  0.339  |  0.643  |  0.346  |  0.331  
  0.323  |  0.646  |  0.331  |  0.316  
  0.354  |  0.650  |  0.354  |  0.354  
  0.323  |  0.653  |  0.323  |  0.323  
  0.354  |  0.656  |  0.346  |  0.362  
  0.292  |  0.659  |  0.300  |  0.285  
  0.369  |  0.663  |  0.369  |  0.370  
  0.308  |  0.666  |  0.300  |  0.316  
  0.354  |  0.670  |  0.354  |  0.354  
  0.323  |  0.673  |  0.331  |  0.316  
  0.339  |  0.676  |  0.346  |  0.331  
  0.354  |  0.680  |  0.354  |  0.354  
  0.339  |  0.683  |  0.339  |  0.339  
  0.308  |  0.686  |  0.316  |  0.300  
  0.339  |  0.690  |  0.339  |  0.339  
  0.323  |  0.693  |  0.331  |  0.316  
  0.339  |  0.696  |  0.339  |  0.339  
  0.339  |  0.700  |  0.331  |  0.346  
  0.339  |  0.703  |  0.339  |  0.339  
  0.339  |  0.706  |  0.339  |  0.339  
  0.339  |  0.710  |  0.339  |  0.339  
  0.323  |  0.713  |  0.323  |  0.323  
  0.323  |  0.716  |  0.331  |  0.316  
  0.308  |  0.723  |  0.316  |  0.300  
  0.323  |  0.726  |  0.323  |  0.323  
  0.354  |  0.730  |  0.354  |  0.354  
  0.354  |  0.733  |  0.362  |  0.346  
  0.323  |  0.736  |  0.323  |  0.323  
  0.323  |  0.740  |  0.316  |  0.331  
  0.339  |  0.743  |  0.339  |  0.339  
  0.339  |  0.746  |  0.339  |  0.339  
  0.339  |  0.750  |  0.339  |  0.339  
  0.323  |  0.753  |  0.331  |  0.316  
  0.308  |  0.756  |  0.316  |  0.300  
  0.369  |  0.760  |  0.369  |  0.369  
  0.354  |  0.763  |  0.354  |  0.354  
  0.323  |  0.766  |  0.323  |  0.323  
  0.323  |  0.770  |  0.323  |  0.323  
  0.339  |  0.773  |  0.346  |  0.331  
  0.323  |  0.776  |  0.323  |  0.323  
  0.339  |  0.780  |  0.339  |  0.339  
  0.339  |  0.783  |  0.339  |  0.339  
  0.323  |  0.786  |  0.331  |  0.316  
  0.339  |  0.790  |  0.339  |  0.338  
  0.308  |  0.793  |  0.316  |  0.300  
  0.354  |  0.796  |  0.354  |  0.354  
  0.323  |  0.800  |  0.316  |  0.331  
  0.354  |  0.803  |  0.362  |  0.346  
  0.308  |  0.806  |  0.308  |  0.308  
  0.369  |  0.810  |  0.369  |  0.369  
  0.308  |  0.813  |  0.316  |  0.300  
  0.323  |  0.816  |  0.323  |  0.323  
  0.339  |  0.819  |  0.331  |  0.346  
  0.323  |  0.823  |  0.331  |  0.316  
  0.339  |  0.826  |  0.339  |  0.339  
