CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.696  | 10.236  |  0.694  |  0.697  
  0.708  | 10.271  |  0.708  |  0.708  
  0.705  | 10.306  |  0.705  |  0.705  
  0.696  | 10.341  |  0.696  |  0.696  
  0.699  | 10.376  |  0.700  |  0.697  
  0.702  | 10.411  |  0.700  |  0.703  
  0.702  | 10.446  |  0.702  |  0.702  
  0.702  | 10.481  |  0.703  |  0.700  
  0.699  | 10.516  |  0.699  |  0.699  
  0.705  | 10.551  |  0.703  |  0.707  
  0.693  | 10.586  |  0.693  |  0.693  
  0.705  | 10.621  |  0.705  |  0.705  
  0.705  | 10.657  |  0.705  |  0.705  
  0.696  | 10.691  |  0.696  |  0.696  
  0.702  | 10.726  |  0.702  |  0.702  
  0.702  | 10.762  |  0.702  |  0.702  
  0.699  | 10.796  |  0.700  |  0.697  
  0.702  | 10.832  |  0.702  |  0.702  
  0.699  | 10.867  |  0.699  |  0.699  
  0.705  | 10.902  |  0.703  |  0.707  
  0.693  | 10.936  |  0.693  |  0.693  
  0.705  | 10.972  |  0.705  |  0.705  
  0.702  | 11.007  |  0.702  |  0.702  

received SIGINT Ctrl-C
